Abbr,AtomicVolume,AtomicWeight,BoilingT,Column,CovalentRadius,Density,DipolePolarizability,ElectronAffinity,Electronegativity,FirstIonizationEnergy,FusionEnthalpy,GSbandgap,GSmagmom,HeatCapacityMass,HeatCapacityMolar,HeatFusion,MeltingT,MendeleevNumber,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,Number,NUnfilled,NValence,Polarizability,Row,SpaceGroupNumber
H,18618.0519408073,1.00794,20.13,1.0,31.0,0.0899,0.666793,72.8,2.2,13.598443,0.06,7.853,0.0,14.304,28.836,0.06,14.01,92.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.666793,1.0,194.0
He,37236.0355633452,4.002602,4.07,18.0,28.0,0.1785,0.2050522,0.0,0.0,24.587387,0.0,18.098,0.0,5.13,20.786,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.2050522,1.0,225.0
Li,21.5440580798753,6.941,1615.0,1.0,128.0,535.0,24.335,59.6,0.98,5.391719,3.0,0.0,0.0,3.582,24.86,3.0,453.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,24.335,2.0,229.0
Be,8.09817645544979,9.012182,2743.0,2.0,96.0,1848.0,5.6,0.0,1.57,9.3227,7.895,0.0,0.0,1.825,16.443,7.895,1560.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,5.6,2.0,194.0
B,7.29776726528474,10.811,4273.0,13.0,84.0,2460.0,3.03,26.7,2.04,8.29802,50.2,1.524,0.0,1.026,11.087,50.2,2348.0,72.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,5.0,5.0,3.0,3.03,2.0,166.0
C,8.82508971529172,12.0107,4300.0,14.0,76.0,2260.0,1.67,153.9,2.55,11.2603,117.4,4.496,0.0,0.709,8.517,117.4,3823.0,77.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,6.0,4.0,4.0,1.67,2.0,194.0
N,18592.4989666188,14.0067,77.21,15.0,71.0,1.251,1.1,7.0,3.04,14.5341,0.355,6.437,0.0,1.04,29.124,0.355,63.05,82.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,7.0,3.0,5.0,1.1,2.0,194.0
O,18592.1971664894,15.9994,90.1,16.0,66.0,1.429,0.802,141.0,3.44,13.61805,0.22,0.0,0.0,0.918,29.378,0.22,54.8,87.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,8.0,2.0,6.0,0.802,2.0,12.0
F,18601.6085673286,18.9984032,84.88,17.0,57.0,1.696,0.557,328.0,3.98,17.4228,0.255,1.97,0.0,0.824,31.304,0.255,53.5,93.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,9.0,1.0,7.0,0.557,2.0,15.0
Ne,37232.1856895088,20.1791,26.92,18.0,58.0,0.9,0.39432,0.0,0.0,21.56454,0.164,13.088,0.0,1.03,20.786,0.164,24.56,99.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,10.0,0.0,8.0,0.39432,2.0,225.0
Na,39.4383288822527,22.98976928,1156.0,1.0,166.0,968.0,24.11,52.8,0.93,5.139076,2.6,0.0,0.0,1.228,28.23,2.6,370.87,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,1.0,1.0,24.11,3.0,229.0
Mg,23.2222930956267,24.305,1363.0,2.0,141.0,1738.0,10.76666667,0.0,1.31,7.646235,8.48,0.0,0.0,1.023,24.869,8.48,923.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,2.0,10.7666666667,3.0,194.0
Al,16.5944245175099,26.9815386,2792.0,13.0,121.0,2700.0,6.8,42.5,1.61,5.985768,10.71,0.0,0.0,0.897,24.2,10.71,933.47,73.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,13.0,5.0,3.0,6.8,3.0,225.0
Si,20.0163777166128,28.0855,3173.0,14.0,111.0,2330.0,5.53,133.6,1.9,8.15168,50.21,0.773,0.0,0.712,19.99,50.21,1687.0,78.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,14.0,4.0,4.0,5.53,3.0,227.0
P,28.2141218166412,30.973762,553.5,15.0,107.0,1823.0,3.63,72.0,2.19,10.48669,18.54,1.625,0.0,0.769,23.824,18.54,317.3,83.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,15.0,3.0,5.0,3.63,3.0,2.0
S,27.1665457946712,32.065,717.72,16.0,105.0,1960.0,2.9,200.0,2.58,10.36001,1.721,2.202,0.0,0.708,22.7,1.721,388.36,88.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,16.0,2.0,6.0,2.9,3.0,70.0
Cl,18317.5070375642,35.453,238.96,17.0,102.0,3.214,2.18,349.0,3.16,12.96763,3.2,2.493,0.0,0.479,33.949,3.2,171.6,94.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,17.0,1.0,7.0,2.18,3.0,64.0
Ar,37184.285422807,39.948,87.2,18.0,106.0,1.784,1.6411,0.0,0.0,15.75961,1.18,9.26,0.0,0.52,20.786,1.18,83.8,100.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,18.0,0.0,8.0,1.6411,3.0,225.0
K,75.8478646830779,39.0983,1032.0,1.0,203.0,856.0,43.23,48.4,0.82,4.3406633,2.335,0.0,0.0,0.757,29.6,2.335,336.53,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,1.0,1.0,43.23,4.0,229.0
Ca,42.9371873024716,40.078,1757.0,2.0,176.0,1550.0,25.73333333,2.37,1.0,6.11316,8.54,0.0,0.0,0.647,25.929,8.54,1115.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,2.0,25.7333333333,4.0,225.0
Sc,25.0093109185916,44.955912,3103.0,3.0,170.0,2985.0,17.8,18.1,1.36,6.56149,14.1,0.0,6.35e-06,0.568,25.52,14.1,1814.0,11.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,9.0,3.0,17.8,4.0,194.0
Ti,17.6363171588061,47.867,3560.0,4.0,160.0,4507.0,14.6,7.6,1.54,6.82812,14.15,0.0,2.25333333333e-05,0.524,25.06,14.15,1941.0,43.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,8.0,4.0,14.6,4.0,194.0
V,13.8448982209802,50.9415,3680.0,5.0,153.0,6110.0,12.4,50.6,1.63,6.74619,21.5,0.0,0.0,0.489,24.89,21.5,2183.0,46.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,7.0,5.0,12.4,4.0,229.0
Cr,12.0929374738936,51.9961,2944.0,6.0,139.0,7140.0,11.6,64.3,1.66,6.76651,21.0,0.0,0.0,0.449,23.35,21.0,2180.0,49.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,24.0,6.0,6.0,11.6,4.0,229.0
